xG,yG,zG,gyroXangle,gyroYangle,gyroZangle
-0.182350247,0.030245061,1.008797483,-36.59329569,-6.52045408,-1.7271226
-0.258835748,0.030245061,0.98113609,-40.69736181,-6.46368968,-0.9466121
-0.326589449,0.030245061,0.936235254,-43.74120933,-7.0940387,-0.8046416
-0.403158469,0.030245061,0.907733152,-47.98896669,-7.13662985,-0.45539417
-0.478965482,0.047910443,0.867110291,-51.34825885,-7.39481869,-0.61995409
-0.535283289,0.059392666,0.847226175,-54.64684561,-6.91182149,-0.78758253
-0.596011573,0.066250353,0.791570905,-58.14259017,-6.29843333,-0.98352597
-0.649626144,0.070053648,0.754176143,-60.37384535,-6.68684751,-1.42580781
-0.697703686,0.070053648,0.712902486,-62.4856596,-6.28149256,-1.85383996
-0.757196612,0.070053648,0.674279091,-63.47517232,-6.44310352,-1.95874532
-0.784401167,0.070053648,0.626021855,-63.79344496,-5.89180984,-1.80813416
-0.8099959,0.069117007,0.570032313,-64.41529108,-5.2870006,-1.68035756
-0.84594634,0.069117007,0.520822588,-64.40962024,-6.44101654,-1.98091208
-0.860196604,0.069117007,0.477925553,-64.76459899,-5.92700731,-1.99511123
-0.882801162,0.069117007,0.447502532,-64.78445575,-6.21634867,-1.82491043
-0.900170297,0.071275012,0.444279119,-65.09408878,-6.38678887,-1.81922909
-0.902676874,0.072102719,0.436684271,-64.83016036,-5.71419709,-1.43610719
-0.910534124,0.072102719,0.427460738,-64.8755226,-5.91832717,-1.52966681
-0.910534124,0.072102719,0.425978563,-64.7448228,-6.07175737,-1.61490581
-0.910534124,0.072102719,0.420932443,-64.5345666,-6.00640747,-1.31941061
-0.912550267,0.072102719,0.420668907,-64.74750135,-6.00640747,-1.34780191
-0.911317542,0.070004032,0.420668907,-64.61116599,-6.19670891,-1.24839071
-0.910534124,0.067964019,0.416245632,-64.58839303,-5.91774015,-1.15160563
-0.908599115,0.067228011,0.416245632,-64.57978282,-6.11003484,-1.40417179
-0.906952475,0.062687207,0.416245632,-64.39077862,-5.78070934,-1.10921069
-0.906952475,0.061880674,0.417668324,-64.37096988,-5.54583428,-1.01299681
-0.906767469,0.061329124,0.420668907,-64.38514943,-5.63091158,-1.22285415
-0.906726849,0.060064405,0.421022269,-64.22800783,-5.41091334,-1.20571143
-0.906726849,0.056729843,0.422215637,-64.3337653,-5.12222403,-1.21428636
-0.906726849,0.053655506,0.422767394,-64.20522955,-5.44784793,-1.17715381
-0.906726849,0.052675662,0.422767394,-64.02243211,-5.36787405,-1.10860477
-0.906767469,0.051030103,0.423543782,-63.86206883,-5.63132801,-1.18305915
-0.906767469,0.048737767,0.424529802,-63.11934503,-6.04268273,-1.07165058
-0.908200263,0.047720279,0.426136337,-62.38988693,-6.01693715,-0.95150454
-0.908200263,0.046845116,0.426536562,-60.34886739,-6.12571519,-0.76257426
-0.908200263,0.04651786,0.428445881,-56.54529531,-6.09999607,-0.67684386
-0.908200263,0.046342997,0.432771397,-51.68533643,-6.47691415,-0.54834906
-0.908200263,0.04626067,0.433040329,-46.05896407,-6.89347113,-0.85363397
-0.898236859,0.04626067,0.441394038,-40.85979597,-6.76791493,-0.54545057
-0.876930915,0.045678446,0.466770823,-35.91443527,-6.38486387,-0.45969287
-0.876444949,0.043434743,0.515278494,-30.47872849,-5.67039137,-0.44540342
-0.82959817,0.042396402,0.557266296,-24.75358907,-6.33384409,0.06934438
-0.786459702,0.042396402,0.626671778,-21.51671662,-5.59520976,0.3716426
-0.732370221,0.040833905,0.682467067,-16.3567579,-4.243792,1.43163412
-0.655703733,0.040565841,0.73175544,-10.84076,-4.1008905,1.78888787
-0.59877264,0.038999299,0.815691664,-5.31555108,-3.29113694,2.05212931
-0.531332384,0.037459867,0.861075798,-0.15240932,-3.00270922,2.46049727
-0.44850983,0.03594472,0.908216679,2.07232893,-4.93464321,2.77052531
-0.375977898,0.03169558,0.939429207,3.30820749,-6.09614019,2.24127176
-0.291564339,0.021945348,0.960499124,3.52255449,-7.09356823,1.94690188
-0.200021803,0.021945348,0.968749075,3.53683659,-7.27637911,1.70410618
-0.124795482,0.021945348,0.993573347,4.17665899,-7.08786001,2.48388973
-0.047256489,0.021945348,0.999874885,4.27391769,-8.04328371,2.11487878
-0.004051494,0.021945348,1.003696131,4.08497355,-6.76075379,2.79908559
-0.004051494,0.022778857,1.003696131,4.45638095,-9.80915145,2.85051123
0.007000299,0.025769714,1.003696131,4.42493646,-10.24937431,2.99058214
0.015716979,0.033577063,0.999874885,4.53071465,-10.51810809,3.03632406
0.021142188,0.033577063,0.999874885,4.27079954,-10.53238914,3.11915415
